point type,Lat,Lon
end,52.14136,-0.44271
end,47.04473,4.80688
end,47.00812,4.79686
end,46.97464,4.78108
end,47.02621,4.82801
end,46.97606,4.77601
end,46.97447,4.7811
end,46.97443,4.78115
end,46.9746,4.78118
end,46.97467,4.78106
end,47.1378,4.84421
end,52.14141,-0.50756
end,46.96936,4.68366
end,52.14698,-0.46828
end,52.14154,-0.50763
end,52.14154,-0.50755
end,52.14145,-0.50762
end,52.14146,-0.50764
end,52.14139,-0.50755
end,52.14145,-0.50762
end,52.14145,-0.50757
end,52.13568,-0.47948
end,48.72392,2.54926
end,46.97459,4.78121
end,44.86493,4.86523
end,44.58856,4.63277
end,44.5893,4.53722
end,47.65877,4.18905
end,48.98667,2.4048
end,52.14149,-0.50757
end,46.90171,4.70744
end,52.14143,-0.50754
